Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,Inventory Status,Inventory Utilization,Order Difference,Sales Difference,Demand Status
2022-01-03,S001,P0010,Electronics,West,51,47,155,38.08,99.14,10,Snowy,0,102.66,Autumn,2022,1,3,Low,92.15686274509804,116.92,8.920000000000002,Higher than Forecast
2022-01-03,S001,P0012,Clothing,East,72,2,62,9.81,86.93,15,Cloudy,0,83.11,Summer,2022,1,3,Low,2.7777777777777777,52.19,-7.8100000000000005,Lower than Forecast
2022-01-03,S001,P0018,Furniture,East,97,20,147,37.26,78.53,5,Rainy,0,75.48,Autumn,2022,1,3,Low,20.618556701030926,109.74000000000001,-17.259999999999998,Lower than Forecast
2022-01-03,S002,P0008,Furniture,South,70,11,137,23.62,58.55,10,Cloudy,0,63.45,Summer,2022,1,3,Low,15.714285714285714,113.38,-12.620000000000001,Lower than Forecast
2022-01-03,S004,P0009,Electronics,West,73,69,65,68.51,30.82,20,Sunny,0,35.26,Winter,2022,1,3,Low,94.52054794520548,-3.510000000000005,0.4899999999999949,Higher than Forecast
2022-01-03,S004,P0017,Toys,North,74,33,29,43.64,38.52,15,Rainy,0,39.57,Spring,2022,1,3,Low,44.5945945945946,-14.64,-10.64,Lower than Forecast
2022-01-03,S005,P0005,Groceries,North,83,66,57,63.37,60.35,20,Sunny,1,60.81,Winter,2022,1,3,Low,79.51807228915662,-6.369999999999997,2.6300000000000026,Higher than Forecast
2022-01-03,S005,P0012,Toys,North,77,72,27,68.01,46.94,20,Rainy,1,46.58,Winter,2022,1,3,Low,93.5064935064935,-41.010000000000005,3.989999999999995,Higher than Forecast
2022-01-04,S001,P0001,Groceries,South,85,58,193,52.87,77.88,15,Cloudy,1,75.99,Winter,2022,1,4,Low,68.23529411764706,140.13,5.130000000000003,Higher than Forecast
2022-01-04,S001,P0002,Electronics,North,91,91,142,82.65,88.22,15,Sunny,1,87.44,Autumn,2022,1,4,Low,100.0,59.349999999999994,8.349999999999994,Higher than Forecast
2022-01-04,S001,P0013,Toys,North,94,31,174,46.7,34.68,10,Sunny,0,33.73,Winter,2022,1,4,Low,32.97872340425532,127.3,-15.700000000000003,Lower than Forecast
2022-01-04,S001,P0014,Clothing,East,77,7,76,22.66,98.28,15,Cloudy,1,95.38,Spring,2022,1,4,Low,9.090909090909092,53.34,-15.66,Lower than Forecast
2022-01-04,S002,P0012,Electronics,North,74,61,87,67.72,94.85,0,Cloudy,0,93.92,Winter,2022,1,4,Low,82.43243243243244,19.28,-6.719999999999999,Lower than Forecast
2022-01-04,S003,P0005,Groceries,North,69,2,161,21.27,24.29,5,Rainy,0,25.5,Summer,2022,1,4,Low,2.898550724637681,139.73,-19.27,Lower than Forecast
2022-01-04,S004,P0013,Groceries,West,80,68,48,81.02,24.53,20,Snowy,1,23.7,Spring,2022,1,4,Low,85.0,-33.019999999999996,-13.019999999999996,Lower than Forecast
2022-01-04,S005,P0013,Groceries,North,86,75,153,72.27,40.27,15,Sunny,1,41.66,Summer,2022,1,4,Low,87.20930232558139,80.73,2.730000000000004,Higher than Forecast
2022-01-05,S002,P0007,Groceries,South,80,20,176,34.05,80.01,5,Rainy,1,80.65,Winter,2022,1,5,Low,25.0,141.95,-14.049999999999997,Lower than Forecast
2022-01-05,S002,P0015,Clothing,South,70,24,28,17.01,52.21,20,Cloudy,0,56.17,Summer,2022,1,5,Low,34.285714285714285,10.989999999999998,6.989999999999998,Higher than Forecast
2022-01-05,S003,P0007,Clothing,East,79,66,69,74.14,76.7,10,Rainy,1,73.33,Summer,2022,1,5,Low,83.54430379746836,-5.140000000000001,-8.14,Lower than Forecast
2022-01-05,S005,P0002,Toys,West,98,59,94,62.06,26.25,15,Snowy,1,28.27,Autumn,2022,1,5,Low,60.204081632653065,31.939999999999998,-3.0600000000000023,Lower than Forecast
2022-01-05,S005,P0011,Electronics,South,91,48,155,51.37,13.33,5,Cloudy,0,13.1,Autumn,2022,1,5,Low,52.74725274725275,103.63,-3.3699999999999974,Lower than Forecast
2022-01-05,S005,P0013,Electronics,South,68,64,54,71.81,39.8,15,Rainy,1,35.38,Summer,2022,1,5,Low,94.11764705882352,-17.810000000000002,-7.810000000000002,Lower than Forecast
2022-01-06,S001,P0003,Toys,West,91,58,187,50.51,54.78,20,Sunny,0,52.0,Autumn,2022,1,6,Low,63.73626373626373,136.49,7.490000000000002,Higher than Forecast
2022-01-06,S001,P0006,Toys,West,57,2,110,1.05,83.4,0,Rainy,1,86.18,Autumn,2022,1,6,Low,3.508771929824561,108.95,0.95,Higher than Forecast
2022-01-06,S001,P0007,Electronics,South,76,35,49,45.45,99.12,5,Sunny,1,104.06,Summer,2022,1,6,Low,46.05263157894737,3.549999999999997,-10.450000000000003,Lower than Forecast
2022-01-06,S001,P0012,Groceries,North,59,1,88,-8.37,63.21,0,Rainy,0,60.48,Spring,2022,1,6,Low,1.694915254237288,96.37,9.37,Higher than Forecast
2022-01-06,S001,P0019,Furniture,South,66,15,126,19.63,96.19,5,Rainy,1,93.01,Spring,2022,1,6,Low,22.727272727272727,106.37,-4.629999999999999,Lower than Forecast
2022-01-06,S001,P0020,Clothing,North,98,2,60,2.68,79.76,0,Rainy,0,78.21,Winter,2022,1,6,Low,2.0408163265306123,57.32,-0.6800000000000002,Lower than Forecast
2022-01-06,S002,P0003,Clothing,East,71,65,197,71.43,60.75,0,Rainy,0,62.18,Autumn,2022,1,6,Low,91.54929577464789,125.57,-6.430000000000007,Lower than Forecast
2022-01-06,S002,P0004,Groceries,East,72,62,118,74.56,58.46,5,Rainy,0,54.87,Autumn,2022,1,6,Low,86.11111111111111,43.44,-12.560000000000002,Lower than Forecast
2022-01-06,S003,P0009,Electronics,West,60,11,89,5.61,15.82,0,Cloudy,1,15.76,Summer,2022,1,6,Low,18.333333333333332,83.39,5.39,Higher than Forecast
2022-01-06,S003,P0019,Furniture,North,67,37,84,37.59,51.51,5,Rainy,1,53.03,Summer,2022,1,6,Low,55.223880597014926,46.41,-0.5900000000000034,Lower than Forecast
2022-01-06,S004,P0004,Electronics,North,50,50,180,41.93,83.19,10,Snowy,1,88.18,Winter,2022,1,6,Low,100.0,138.07,8.07,Higher than Forecast
2022-01-06,S004,P0016,Electronics,West,69,24,190,36.79,81.37,15,Snowy,1,84.52,Spring,2022,1,6,Low,34.78260869565217,153.21,-12.79,Lower than Forecast
2022-01-06,S005,P0007,Groceries,West,87,39,187,33.84,58.4,20,Snowy,0,55.85,Autumn,2022,1,6,Low,44.827586206896555,153.16,5.159999999999997,Higher than Forecast
2022-01-06,S005,P0009,Toys,South,87,70,44,81.01,46.58,0,Sunny,1,43.42,Autumn,2022,1,6,Low,80.45977011494253,-37.010000000000005,-11.010000000000005,Lower than Forecast
2022-01-06,S005,P0010,Toys,South,94,64,176,67.98,53.15,20,Snowy,0,57.29,Autumn,2022,1,6,Low,68.08510638297872,108.02,-3.980000000000004,Lower than Forecast
2022-01-06,S005,P0020,Furniture,West,74,7,82,6.64,92.93,20,Sunny,1,89.89,Winter,2022,1,6,Low,9.45945945945946,75.36,0.3600000000000003,Higher than Forecast
2022-01-07,S002,P0003,Electronics,West,85,72,59,80.31,42.82,0,Snowy,1,39.39,Autumn,2022,1,7,Low,84.70588235294117,-21.310000000000002,-8.310000000000002,Lower than Forecast
2022-01-07,S002,P0008,Toys,North,74,46,129,59.22,96.55,10,Cloudy,1,94.72,Spring,2022,1,7,Low,62.16216216216216,69.78,-13.219999999999999,Lower than Forecast
2022-01-07,S002,P0020,Groceries,West,90,86,103,91.01,61.14,10,Snowy,0,59.68,Summer,2022,1,7,Low,95.55555555555556,11.989999999999995,-5.010000000000005,Lower than Forecast
2022-01-07,S003,P0003,Clothing,South,92,4,87,20.75,85.2,0,Sunny,1,90.12,Summer,2022,1,7,Low,4.3478260869565215,66.25,-16.75,Lower than Forecast
2022-01-07,S003,P0010,Furniture,North,74,63,35,72.14,61.85,0,Sunny,0,66.47,Summer,2022,1,7,Low,85.13513513513513,-37.14,-9.14,Lower than Forecast
2022-01-07,S004,P0002,Toys,North,61,46,172,42.15,79.31,0,Sunny,1,80.4,Summer,2022,1,7,Low,75.40983606557377,129.85,3.8500000000000014,Higher than Forecast
2022-01-07,S004,P0003,Electronics,North,81,49,166,47.54,63.03,15,Cloudy,0,58.96,Spring,2022,1,7,Low,60.49382716049383,118.46000000000001,1.4600000000000009,Higher than Forecast
2022-01-07,S004,P0011,Clothing,North,88,80,106,74.64,82.63,0,Snowy,1,82.31,Spring,2022,1,7,Low,90.9090909090909,31.36,5.359999999999999,Higher than Forecast
2022-01-07,S004,P0017,Furniture,South,53,4,84,2.05,94.56,10,Rainy,1,95.74,Summer,2022,1,7,Low,7.547169811320755,81.95,1.9500000000000002,Higher than Forecast
2022-01-07,S004,P0018,Furniture,North,94,70,132,61.63,66.34,5,Sunny,1,68.05,Summer,2022,1,7,Low,74.46808510638297,70.37,8.369999999999997,Higher than Forecast
2022-01-07,S005,P0019,Furniture,East,60,33,155,33.96,31.44,0,Rainy,1,33.88,Spring,2022,1,7,Low,55.00000000000001,121.03999999999999,-0.9600000000000009,Lower than Forecast
2022-01-08,S001,P0002,Groceries,South,55,33,34,44.32,72.12,5,Rainy,0,73.33,Autumn,2022,1,8,Low,60.0,-10.32,-11.32,Lower than Forecast
2022-01-08,S002,P0010,Toys,West,57,23,71,25.74,91.77,10,Rainy,1,91.56,Autumn,2022,1,8,Low,40.35087719298245,45.260000000000005,-2.7399999999999984,Lower than Forecast
2022-01-08,S002,P0011,Electronics,South,64,7,79,-2.99,92.43,0,Snowy,0,88.55,Spring,2022,1,8,Low,10.9375,81.99,9.99,Higher than Forecast
2022-01-08,S003,P0010,Groceries,East,84,6,63,24.13,88.54,20,Snowy,1,92.13,Spring,2022,1,8,Low,7.142857142857142,38.870000000000005,-18.13,Lower than Forecast
2022-01-08,S003,P0012,Furniture,West,55,3,46,7.02,16.46,5,Snowy,1,17.96,Spring,2022,1,8,Low,5.454545454545454,38.980000000000004,-4.02,Lower than Forecast
2022-01-08,S003,P0016,Clothing,East,81,36,69,33.1,26.65,10,Cloudy,1,28.85,Spring,2022,1,8,Low,44.44444444444444,35.9,2.8999999999999986,Higher than Forecast
2022-01-08,S003,P0017,Electronics,North,93,85,46,81.22,15.63,20,Snowy,0,18.44,Summer,2022,1,8,Low,91.39784946236558,-35.22,3.780000000000001,Higher than Forecast
2022-01-08,S004,P0001,Clothing,East,62,23,131,28.07,24.71,20,Cloudy,1,25.11,Spring,2022,1,8,Low,37.096774193548384,102.93,-5.07,Lower than Forecast
2022-01-08,S004,P0002,Toys,South,74,25,48,27.36,83.18,5,Rainy,0,85.58,Winter,2022,1,8,Low,33.78378378378378,20.64,-2.3599999999999994,Lower than Forecast
2022-01-09,S001,P0007,Electronics,South,81,81,177,98.81,34.2,15,Sunny,1,37.95,Autumn,2022,1,9,Low,100.0,78.19,-17.810000000000002,Lower than Forecast
2022-01-09,S001,P0010,Toys,South,97,40,148,38.87,69.78,15,Cloudy,1,65.21,Summer,2022,1,9,Low,41.23711340206185,109.13,1.1300000000000026,Higher than Forecast
2022-01-09,S001,P0012,Electronics,South,94,50,101,56.16,13.88,20,Rainy,0,13.91,Autumn,2022,1,9,Low,53.191489361702125,44.84,-6.159999999999997,Lower than Forecast
2022-01-09,S002,P0002,Toys,North,93,29,101,25.81,96.63,5,Rainy,1,95.9,Winter,2022,1,9,Low,31.182795698924732,75.19,3.1900000000000013,Higher than Forecast
2022-01-09,S002,P0017,Electronics,South,100,50,99,62.54,48.77,5,Snowy,1,46.12,Spring,2022,1,9,Low,50.0,36.46,-12.54,Lower than Forecast
2022-01-09,S002,P0018,Furniture,West,96,95,63,103.86,45.68,0,Sunny,1,45.36,Autumn,2022,1,9,Low,98.95833333333334,-40.86,-8.86,Lower than Forecast
2022-01-09,S003,P0010,Toys,East,60,40,65,51.32,85.57,20,Rainy,0,82.49,Spring,2022,1,9,Low,66.66666666666666,13.68,-11.32,Lower than Forecast
2022-01-09,S003,P0015,Electronics,South,90,67,92,68.42,15.65,15,Snowy,1,18.07,Summer,2022,1,9,Low,74.44444444444444,23.58,-1.4200000000000017,Lower than Forecast
2022-01-09,S005,P0015,Electronics,West,80,19,186,36.63,10.4,20,Rainy,0,11.15,Autumn,2022,1,9,Low,23.75,149.37,-17.630000000000003,Lower than Forecast
2022-01-10,S001,P0019,Clothing,North,100,65,50,68.14,46.67,5,Cloudy,0,50.75,Winter,2022,1,10,Low,65.0,-18.14,-3.1400000000000006,Lower than Forecast
2022-01-10,S003,P0002,Clothing,East,85,79,68,72.88,40.83,5,Rainy,1,37.97,Autumn,2022,1,10,Low,92.94117647058823,-4.8799999999999955,6.1200000000000045,Higher than Forecast
2022-01-10,S003,P0003,Furniture,North,84,7,195,9.75,67.15,15,Snowy,0,66.45,Winter,2022,1,10,Low,8.333333333333332,185.25,-2.75,Lower than Forecast
2022-01-10,S004,P0004,Furniture,South,94,40,173,40.99,45.22,5,Sunny,1,43.46,Spring,2022,1,10,Low,42.5531914893617,132.01,-0.990000000000002,Lower than Forecast
2022-01-10,S004,P0005,Toys,North,80,27,80,25.55,98.97,10,Cloudy,1,100.43,Autumn,2022,1,10,Low,33.75,54.45,1.4499999999999993,Higher than Forecast
2022-01-10,S004,P0009,Groceries,East,62,12,24,22.88,52.85,5,Snowy,0,49.41,Autumn,2022,1,10,Low,19.35483870967742,1.120000000000001,-10.879999999999999,Lower than Forecast
2022-01-10,S004,P0012,Clothing,East,91,53,160,51.14,65.05,10,Snowy,1,67.32,Summer,2022,1,10,Low,58.24175824175825,108.86,1.8599999999999994,Higher than Forecast
2022-01-10,S004,P0018,Groceries,North,66,35,106,36.58,72.14,20,Rainy,0,74.88,Spring,2022,1,10,Low,53.03030303030303,69.42,-1.5799999999999983,Lower than Forecast
2022-01-10,S005,P0004,Furniture,North,58,40,149,48.74,77.7,20,Snowy,1,74.51,Winter,2022,1,10,Low,68.96551724137932,100.25999999999999,-8.740000000000002,Lower than Forecast
2022-01-11,S001,P0015,Clothing,North,51,38,196,48.25,27.47,0,Rainy,1,24.16,Spring,2022,1,11,Low,74.50980392156863,147.75,-10.25,Lower than Forecast
2022-01-11,S002,P0012,Toys,South,87,48,68,63.14,14.82,20,Cloudy,1,15.72,Autumn,2022,1,11,Low,55.172413793103445,4.859999999999999,-15.14,Lower than Forecast
2022-01-11,S003,P0016,Clothing,North,76,22,176,39.41,55.42,20,Rainy,0,52.25,Summer,2022,1,11,Low,28.947368421052634,136.59,-17.409999999999997,Lower than Forecast
2022-01-11,S004,P0019,Toys,East,66,25,108,36.78,71.45,10,Rainy,0,68.39,Summer,2022,1,11,Low,37.878787878787875,71.22,-11.780000000000001,Lower than Forecast
2022-01-11,S005,P0003,Groceries,North,91,52,127,56.63,81.55,15,Snowy,0,80.98,Winter,2022,1,11,Low,57.14285714285714,70.37,-4.630000000000003,Lower than Forecast
2022-01-11,S005,P0006,Clothing,North,92,29,23,28.38,41.2,20,Cloudy,1,38.1,Summer,2022,1,11,Low,31.521739130434785,-5.379999999999999,0.620000000000001,Higher than Forecast
2022-01-11,S005,P0019,Clothing,West,69,19,61,27.2,82.84,15,Rainy,1,78.4,Autumn,2022,1,11,Low,27.536231884057973,33.8,-8.2,Lower than Forecast
2022-01-12,S001,P0002,Toys,East,85,63,155,77.52,26.45,10,Snowy,0,24.61,Spring,2022,1,12,Low,74.11764705882354,77.48,-14.519999999999996,Lower than Forecast
2022-01-12,S001,P0013,Furniture,West,52,38,112,47.44,88.96,15,Cloudy,1,88.07,Winter,2022,1,12,Low,73.07692307692307,64.56,-9.439999999999998,Lower than Forecast
2022-01-12,S002,P0012,Electronics,East,65,19,99,20.63,88.2,15,Rainy,0,84.3,Winter,2022,1,12,Low,29.230769230769234,78.37,-1.629999999999999,Lower than Forecast
2022-01-12,S003,P0004,Electronics,North,77,64,156,83.42,91.29,0,Cloudy,0,95.37,Summer,2022,1,12,Low,83.11688311688312,72.58,-19.42,Lower than Forecast
2022-01-12,S003,P0008,Furniture,North,55,7,20,16.78,85.9,5,Snowy,0,87.97,Autumn,2022,1,12,Low,12.727272727272727,3.219999999999999,-9.780000000000001,Lower than Forecast
2022-01-12,S003,P0010,Furniture,South,74,6,77,-0.11,34.77,15,Snowy,0,33.56,Summer,2022,1,12,Low,8.108108108108109,77.11,6.11,Higher than Forecast
2022-01-12,S004,P0001,Toys,North,56,39,149,35.68,46.26,20,Rainy,0,48.81,Autumn,2022,1,12,Low,69.64285714285714,113.32,3.3200000000000003,Higher than Forecast
2022-01-12,S004,P0004,Clothing,East,79,4,156,23.49,60.78,20,Rainy,1,62.27,Spring,2022,1,12,Low,5.063291139240507,132.51,-19.49,Lower than Forecast
2022-01-12,S005,P0015,Clothing,West,78,18,102,14.56,83.43,15,Sunny,0,82.19,Spring,2022,1,12,Low,23.076923076923077,87.44,3.4399999999999995,Higher than Forecast
2022-01-12,S005,P0016,Electronics,North,79,40,190,37.92,16.59,20,Cloudy,0,15.08,Autumn,2022,1,12,Low,50.63291139240506,152.07999999999998,2.0799999999999983,Higher than Forecast
2022-01-12,S005,P0018,Toys,North,99,18,172,26.08,11.98,20,Sunny,1,12.84,Autumn,2022,1,12,Low,18.181818181818183,145.92000000000002,-8.079999999999998,Lower than Forecast
2022-01-13,S001,P0003,Groceries,East,50,1,101,10.7,69.18,10,Rainy,1,66.84,Summer,2022,1,13,Low,2.0,90.3,-9.7,Lower than Forecast
2022-01-13,S001,P0014,Toys,South,79,58,158,73.54,96.24,10,Cloudy,1,100.59,Autumn,2022,1,13,Low,73.41772151898735,84.46,-15.540000000000006,Lower than Forecast
2022-01-13,S001,P0016,Toys,East,91,19,126,9.24,35.05,5,Rainy,1,33.47,Autumn,2022,1,13,Low,20.87912087912088,116.76,9.76,Higher than Forecast
2022-01-13,S001,P0017,Furniture,East,72,52,138,69.1,22.25,20,Sunny,1,17.44,Winter,2022,1,13,Low,72.22222222222221,68.9,-17.099999999999994,Lower than Forecast
2022-01-13,S002,P0008,Groceries,North,99,37,106,46.28,93.46,15,Rainy,0,93.68,Summer,2022,1,13,Low,37.37373737373738,59.72,-9.280000000000001,Lower than Forecast
2022-01-13,S002,P0016,Furniture,West,90,79,99,86.83,71.44,10,Cloudy,0,75.1,Autumn,2022,1,13,Low,87.77777777777777,12.170000000000002,-7.829999999999998,Lower than Forecast
2022-01-13,S002,P0018,Electronics,West,100,12,23,6.57,81.0,10,Snowy,1,76.24,Spring,2022,1,13,Low,12.0,16.43,5.43,Higher than Forecast
2022-01-13,S003,P0002,Electronics,North,83,71,99,74.08,91.06,5,Rainy,1,87.75,Spring,2022,1,13,Low,85.54216867469879,24.92,-3.0799999999999983,Lower than Forecast
2022-01-13,S003,P0009,Furniture,West,78,24,188,25.24,53.77,10,Sunny,1,52.99,Spring,2022,1,13,Low,30.76923076923077,162.76,-1.2399999999999984,Lower than Forecast
2022-01-13,S003,P0012,Toys,South,72,3,111,12.68,58.68,5,Snowy,1,60.03,Autumn,2022,1,13,Low,4.166666666666666,98.32,-9.68,Lower than Forecast
2022-01-13,S003,P0013,Clothing,West,78,57,114,49.04,21.8,0,Sunny,1,25.59,Autumn,2022,1,13,Low,73.07692307692307,64.96000000000001,7.960000000000001,Higher than Forecast
2022-01-13,S003,P0018,Groceries,East,61,27,128,39.01,97.17,20,Rainy,1,94.22,Summer,2022,1,13,Low,44.26229508196721,88.99000000000001,-12.009999999999998,Lower than Forecast
2022-01-13,S004,P0017,Toys,East,74,2,27,14.81,94.49,20,Rainy,0,98.42,Autumn,2022,1,13,Low,2.7027027027027026,12.19,-12.81,Lower than Forecast
2022-01-13,S004,P0018,Electronics,North,69,13,184,13.6,93.45,20,Sunny,1,95.53,Spring,2022,1,13,Low,18.84057971014493,170.4,-0.5999999999999996,Lower than Forecast
2022-01-13,S005,P0014,Furniture,West,50,9,46,3.86,59.04,15,Cloudy,0,63.79,Summer,2022,1,13,Low,18.0,42.14,5.140000000000001,Higher than Forecast
2022-01-13,S005,P0018,Furniture,South,55,49,171,58.67,73.07,15,Snowy,0,76.38,Winter,2022,1,13,Low,89.0909090909091,112.33,-9.670000000000002,Lower than Forecast
2022-01-14,S001,P0003,Toys,East,91,61,150,57.11,53.89,20,Cloudy,0,49.41,Spring,2022,1,14,Low,67.03296703296702,92.89,3.8900000000000006,Higher than Forecast
2022-01-14,S002,P0001,Groceries,West,81,45,121,40.43,35.05,20,Sunny,0,35.31,Winter,2022,1,14,Low,55.55555555555556,80.57,4.57,Higher than Forecast
2022-01-14,S002,P0007,Groceries,South,67,53,167,44.59,72.68,20,Sunny,1,67.88,Winter,2022,1,14,Low,79.1044776119403,122.41,8.409999999999997,Higher than Forecast
2022-01-14,S002,P0013,Groceries,West,84,76,179,90.93,85.91,20,Snowy,0,82.2,Summer,2022,1,14,Low,90.47619047619048,88.07,-14.930000000000007,Lower than Forecast
2022-01-14,S002,P0016,Clothing,North,72,23,127,38.69,46.51,0,Rainy,0,50.98,Spring,2022,1,14,Low,31.944444444444443,88.31,-15.689999999999998,Lower than Forecast
2022-01-14,S003,P0006,Toys,East,89,86,178,105.04,34.54,5,Sunny,1,33.79,Autumn,2022,1,14,Low,96.62921348314607,72.96,-19.040000000000006,Lower than Forecast
2022-01-14,S004,P0001,Groceries,South,93,39,180,37.77,64.07,20,Rainy,0,68.04,Winter,2022,1,14,Low,41.935483870967744,142.23,1.2299999999999969,Higher than Forecast
2022-01-14,S004,P0005,Electronics,South,54,31,125,45.68,47.42,0,Snowy,0,51.45,Summer,2022,1,14,Low,57.407407407407405,79.32,-14.68,Lower than Forecast
2022-01-14,S004,P0016,Groceries,South,94,58,164,63.94,22.33,20,Sunny,1,17.54,Spring,2022,1,14,Low,61.702127659574465,100.06,-5.939999999999998,Lower than Forecast
2022-01-14,S005,P0001,Groceries,East,65,63,121,62.67,30.03,10,Sunny,0,27.0,Spring,2022,1,14,Low,96.92307692307692,58.33,0.3299999999999983,Higher than Forecast
2022-01-14,S005,P0013,Clothing,North,80,21,23,15.58,63.57,15,Rainy,0,63.83,Autumn,2022,1,14,Low,26.25,7.42,5.42,Higher than Forecast
2022-01-14,S005,P0019,Groceries,West,65,0,122,-0.03,82.34,20,Rainy,1,79.8,Winter,2022,1,14,Low,0.0,122.03,0.03,Higher than Forecast
2022-01-15,S001,P0007,Groceries,East,63,31,60,47.19,52.32,0,Cloudy,1,54.43,Autumn,2022,1,15,Low,49.2063492063492,12.810000000000002,-16.189999999999998,Lower than Forecast
2022-01-15,S001,P0013,Groceries,West,97,4,98,-4.7,38.25,15,Rainy,1,42.75,Spring,2022,1,15,Low,4.123711340206185,102.7,8.7,Higher than Forecast
2022-01-15,S002,P0001,Clothing,West,79,19,163,16.28,62.09,0,Snowy,0,59.01,Spring,2022,1,15,Low,24.050632911392405,146.72,2.719999999999999,Higher than Forecast
2022-01-15,S002,P0019,Clothing,East,65,55,161,46.76,51.81,15,Rainy,1,56.1,Winter,2022,1,15,Low,84.61538461538461,114.24000000000001,8.240000000000002,Higher than Forecast
2022-01-15,S004,P0006,Groceries,North,76,27,71,30.56,29.71,5,Sunny,1,26.96,Winter,2022,1,15,Low,35.526315789473685,40.44,-3.5599999999999987,Lower than Forecast
2022-01-15,S004,P0013,Toys,South,64,51,75,44.36,11.82,10,Cloudy,0,16.42,Autumn,2022,1,15,Low,79.6875,30.64,6.640000000000001,Higher than Forecast
2022-01-15,S004,P0019,Electronics,North,78,53,55,51.6,52.99,20,Rainy,0,49.81,Summer,2022,1,15,Low,67.94871794871796,3.3999999999999986,1.3999999999999986,Higher than Forecast
